,Avg Node Count,Avg Max Depth,Number of Estimators,Basic Accuracy Score,Balanced Accuracy Score,Precision Score,Recall Score
0,2308,27,15,90.16%,87.51%,94.54%,92.5%
1,2319,26,15,90.55%,88.05%,94.79%,92.75%
2,2334,26,15,90.37%,87.8%,94.67%,92.65%
3,2339,27,15,90.34%,87.78%,94.69%,92.58%
4,2333,27,15,90.84%,88.58%,95.18%,92.78%
5,2338,27,15,90.66%,88.09%,94.69%,92.98%
6,2334,26,15,90.61%,88.09%,94.77%,92.84%
7,2367,27,15,90.51%,88.11%,94.95%,92.58%
8,2342,28,15,90.7%,88.44%,95.15%,92.64%
9,2334,26,15,90.57%,88.24%,95.05%,92.56%
10,2330,28,20,90.55%,87.86%,94.49%,93.01%
11,2353,27,20,90.53%,87.9%,94.59%,92.9%
12,2353,27,20,90.45%,87.73%,94.44%,92.93%
13,2327,28,20,90.49%,87.88%,94.62%,92.83%
14,2351,27,20,90.3%,87.43%,94.18%,92.96%
15,2355,26,20,90.49%,87.8%,94.49%,92.94%
16,2337,27,20,90.26%,87.5%,94.36%,92.77%
17,2348,27,20,90.39%,87.63%,94.36%,92.93%
18,2341,27,20,90.51%,87.79%,94.44%,93.01%
19,2351,27,20,90.57%,87.92%,94.56%,92.97%
20,2338,27,25,90.64%,88.38%,95.15%,92.57%
21,2367,27,25,90.8%,88.46%,95.05%,92.84%
22,2323,27,25,90.57%,88.36%,95.23%,92.41%
23,2348,27,25,90.51%,88.2%,95.08%,92.47%
24,2326,26,25,90.49%,87.99%,94.79%,92.68%
25,2330,28,25,90.95%,88.71%,95.21%,92.89%
26,2316,26,25,90.76%,88.54%,95.23%,92.64%
27,2328,27,25,90.45%,88.09%,95.0%,92.46%
28,2332,27,25,90.91%,88.53%,95.0%,93.02%
29,2330,26,25,90.84%,88.44%,94.97%,92.95%
30,2347,27,30,90.76%,88.37%,94.97%,92.86%
31,2335,28,30,90.41%,87.77%,94.56%,92.78%
32,2356,26,30,90.66%,88.08%,94.67%,93.0%
33,2345,27,30,90.51%,87.95%,94.69%,92.79%
34,2338,26,30,90.61%,88.01%,94.64%,92.95%
35,2350,27,30,90.62%,87.93%,94.49%,93.1%
36,2325,26,30,90.8%,88.24%,94.72%,93.12%
37,2328,27,30,90.87%,88.39%,94.85%,93.1%
38,2344,26,30,90.87%,88.43%,94.9%,93.06%
39,2343,26,30,90.78%,88.16%,94.62%,93.18%
40,2352,27,35,90.66%,88.29%,95.0%,92.72%
41,2327,27,35,90.72%,88.56%,95.31%,92.53%
42,2330,26,35,90.89%,88.73%,95.31%,92.74%
43,2327,27,35,90.82%,88.73%,95.41%,92.56%
44,2354,27,35,90.62%,88.36%,95.15%,92.54%
45,2329,27,35,90.85%,88.6%,95.18%,92.8%
46,2332,27,35,90.68%,88.47%,95.23%,92.55%
47,2344,27,35,90.97%,88.73%,95.21%,92.92%
48,2343,27,35,90.68%,88.47%,95.23%,92.55%
49,2336,27,35,90.82%,88.51%,95.1%,92.82%
